Post URL,File,Post Date,Caption,Anotasi,Catatan,caption_clean,hashtags_clean,caption_normalized
https://www.instagram.com/p/DXyhP25j7o3/,1.jpg,46143.353692129633,"The beach is fun, while the mountains are calming🌊🏝️⛰️
#gunungkratau #pantaisebesi #lampungselatan #pulausebesi",Attraction,,"the beach is fun, while the mountains are calming🌊🏝️⛰️",gunungkratau pantaisebesi lampungselatan pulausebesi,the beach is fun while the mountains are calming laut pulau gunung
https://www.instagram.com/p/C-Id93hyegu/,2.jpg,45505.644224537027,"Pantai Slimpuyang , Sidomulyo , Lampung selatan.
.
. 
. 
Repost : @anandamdini_ 
. 
. 
#LampungInsta #Lampung #kelilinglampung #ExploreLampung #bandarlampung #indonesia #indonesiaku #alamindonesia #wonderfulindonesia #tamanindonesiakaya #indonesiaindah #kalianda #lampungselatan",Attraction,,"pantai slimpuyang, sidomulyo, lampung selatan repost",lampung insta lampung kelilinglampung explore lampung bandarlampung indonesia indonesiaku alamindonesia wonderfulindonesia tamanindonesiakaya indonesiaindah kalianda lampungselatan,pantai slimpuyang sidomulyo lampung selatan repost
https://www.instagram.com/p/DRY11KTj8nt/,3.jpg,45984.25,"A welcoming spot where groups can find shade, connect, and enjoy a peaceful break!

Booking and Reservation:
Whatsapp +62 821 2200 2098

—
Pantai Setigi Heni
Canggung, Lampung Selatan

#SetigiHeni #HarmonyWithNature #BatokKelapaBeachCafe #ShellOfFlavor #HiddenGem #Canggung #LampungSelatan",Amenities,,"a welcoming spot where groups can find shade, connect, and enjoy a peaceful break! booking and reservation: whatsapp +62 821 2200 2098 pantai setigi heni canggung, lampung selatan",setigi heni harmony with nature batok kelapa beach cafe shell of flavor hidden gem canggung lampung selatan,a welcoming spot where groups can find shade connect and enjoy a peaceful break booking and reservation whatsapp 62 821 2200 2098 pantai setigi heni canggung lampung selatan
https://www.instagram.com/p/DBFjvtxyijQ/,4.jpg,45579.079606481479,"The beach is the answer to relieve fatigue from busy routines
°°°
@nata_ari77
@danangichwandii

°°°

Pantai Aruna Lampung
Jl. H. Muthalib, Desa Merak Belantung, Kec. kalianda
Lampung Selatan
📞 081541398534 (Kania) 

#lampung #lampungselatan #lampungtimur
#lampungtengah #pantai #metime #tulangbawang #tulangbawangbarat #travellerlampung #beachlife #beachvibes #jalanjalan #metime #campervan
#pantai #pantaiindonesia #lampungtimur #bandarlampung #ffff #detik #girl #ceweindonesia #lampungtengah #lampungselatan #palembang #tulangbawang #mata_lampungku #pikniklampung",Attraction,,"the beach is the answer to relieve fatigue from busy routines pantai aruna lampung jl. h. muthalib, desa merak belantung, kec. kalianda lampung selatan 📞 081541398534 (kania)",lampung lampungselatan lampungtimur lampungtengah pantai metime tulangbawang tulangbawangbarat travellerlampung beachlife beachvibes jalanjalan campervan pantaiindonesia bandarlampung ffff detik girl ceweindonesia palembang mata lampungku pikniklampung,the beach is the answer to relieve fatigue from busy routines pantai aruna lampung jl h muthalib desa merak belantung kec kalianda lampung selatan telepon 081541398534 kania
https://www.instagram.com/p/DMzwtWsx-N1/,5.jpg,45870.429386574076,"Thank you for visiting at minangrua beach🌊☀
— SNORKELING Rp:75.000/pax all fasilitas 

Make sure your vacation is a good and fun moment, trust us !!!

Liburan di pantai, tapi bukan sekedar pantai.
Pantai minangrua menyajikan rekreasi alam yg berbeda.
Selain pantai, di Minangrua juga ada destinasi wisata lain.
Seperti, Air Terjun Dan Green Canyon.

Your family story must be happy!!
 ________________________
This is👉. Pantai Minangrua - Desa Kelawi - Bakauheni - Lampung Selatan.

Rute: 1.5 jam dari kota Bandar lampung. 10 menit dari Pelabuhan Bakauheni. 
________________________
Hurry up, follow us, because we are processing something amazing!!!
NOTE!!!
(Lodging on this beach is very limited)
__
Pos HTM: 10k/orang (non higeseason) 
__
Green Canyon HTM: 15k/orang 
__
Family Gathering Mulai Rp:170.000/orang
__
Snorkeling mulai Rp: 75.000/orang 

More info & Reservasi: HP/WA: 081272250665
________________________
Don’t miss out on information!!

Tag dan follow 👇👇

@minangruabeach_inn
@pantaiminangrua_lampung

Sertakan #minangruabeach 
❎ Vacation is a necessity too
________________________
•Don’t focus too much on money•
________________________
#minangruabeachinn #minangruabeach #pantaiminangrua #bakauheni #lampungselatan #lampung #lampung #bandung #palembang #travel #explore #tourism #trip #explore",Ancillary,,"thank you for visiting at minangrua beach🌊☀ snorkeling rp:75.000/pax all fasilitas make sure your vacation is a good and fun moment, trust us! liburan di pantai, tapi bukan sekedar pantai. pantai minangrua menyajikan rekreasi alam yg berbeda. selain pantai, di minangrua juga ada destinasi wisata lain. seperti, air terjun dan green canyon. your family story must be happy! this is👉. pantai minangrua - desa kelawi - bakauheni - lampung selatan. rute: 1.5 jam dari kota bandar lampung. 10 menit dari pelabuhan bakauheni. hurry up, follow us, because we are processing something amazing! note! (lodging on this beach is very limited) pos htm: 10k/orang (non higeseason) green canyon htm: 15k/orang family gathering mulai rp:170.000/orang snorkeling mulai rp: 75.000/orang more info dan reservasi: hp/wa: 081272250665 don’t miss out on information! tag dan follow 👇👇 sertakan ❎ vacation is a necessity too don’t focus too much on money",minangruabeach minangruabeachinn pantaiminangrua bakauheni lampungselatan lampung bandung palembang travel explore tourism trip,thank you for visiting at minangrua beach laut matahari snorkeling rupiah 75 00 orang all fasilitas make sure your vacation is a good and fun moment trust us liburan di pantai tapi bukan sekedar pantai pantai minangrua menyajikan rekreasi alam yang berbeda selain pantai di minangrua juga ada destinasi wisata lain seperti air terjun dan green canyon your family story must be happy this is arah pantai minangrua desa kelawi bakauheni lampung selatan rute 1 5 jam dari kota bandar lampung 10 menit dari pelabuhan bakauheni hurry up follow us because we are processing something amazing note lodging on this beach is very limited pos harga tiket masuk 10k orang non higeseason green canyon harga tiket masuk 15k orang family gathering mulai rupiah 170 00 orang snorkeling mulai rupiah 75 00 orang more info dan reservasi hp whatsapp 081272250665 don t miss out on information tag dan follow arah bawah arah bawah sertakan salah vacation is a necessity too don t focus too much on money
https://www.instagram.com/p/DKTkK9kvUDx/,6.jpg,45808.215277777781,"Langkah kecil menuju laut, harapan besar untuk alam 🌊🐢 Mari jaga laut dan kehidupan yang ada di dalamnya! 

Booking and Reservation:
Whatsapp +62 821 2200 2098

—
Pantai Setigi Heni
Canggung, Lampung Selatan

#SetigiHeni #HarmonyWithNature #BatokKelapaBeachCafe #ShellOfFlavor #HiddenGem #Canggung #LampungSelatan",Attraction,,"langkah kecil menuju laut, harapan besar untuk alam 🌊🐢 mari jaga laut dan kehidupan yang ada di dalamnya! booking and reservation: whatsapp +62 821 2200 2098 pantai setigi heni canggung, lampung selatan",setigi heni harmony with nature batok kelapa beach cafe shell of flavor hidden gem canggung lampung selatan,langkah kecil menuju laut harapan besar untuk alam laut penyu mari jaga laut dan kehidupan yang ada di dalamnya booking and reservation whatsapp 62 821 2200 2098 pantai setigi heni canggung lampung selatan
https://www.instagram.com/p/DDTir0zvvzA/,7.jpg,45634.220509259263,"The pile of coral reef 🌊 

Booking and Reservation:
Whatsapp +62 821 2200 2098

—
Pantai Setigi Heni
Canggung, Lampung Selatan

#SetigiHeni #HarmonyWithNature #BatokKelapaBeachCafe #ShellOfFlavor #HiddenGem #Canggung #LampungSelatan",Attraction,,"the pile of coral reef 🌊 booking and reservation: whatsapp +62 821 2200 2098 pantai setigi heni canggung, lampung selatan",setigi heni harmony with nature batok kelapa beach cafe shell of flavor hidden gem canggung lampung selatan,the pile of coral reef laut booking and reservation whatsapp 62 821 2200 2098 pantai setigi heni canggung lampung selatan
https://www.instagram.com/p/CvLuYZsPOeM/,8.jpg,45134.08189814815,"bentar lagi udah mau weekend aja nih, kalian udah punya rencana mau berwisata kemana? kalau belum ada coba deh datang berwisata ke Pantai Marina.

Pantai yang menyuguhkan indahnya spot bebatuan karang ini sudah memiliki fasilitas penunjang lainnya seperti spot foto dan kuliner. yuk berwisata ke pantai yang ada di kalianda.

Loc: Pantai Marina, Kalianda, Lampung Selatan.

#tempatwisatalampung #marinabeach #pantaimarina #wonderfulindonesia #wisatalampungselatan #beach #wisatalampung #wisataindonesia",Attraction,,"bentar lagi udah mau weekend aja nih, kalian udah punya rencana mau berwisata kemana? kalau belum ada coba deh datang berwisata ke pantai marina. pantai yang menyuguhkan indahnya spot bebatuan karang ini sudah memiliki fasilitas penunjang lainnya seperti spot foto dan kuliner. yuk berwisata ke pantai yang ada di kalianda. loc: pantai marina, kalianda, lampung selatan",tempatwisatalampung marinabeach pantaimarina wonderfulindonesia wisatalampungselatan beach wisatalampung wisataindonesia,sebentar lagi sudah mau weekend saja ini kalian sudah punya rencana mau berwisata kemana kalau belum ada coba deh datang berwisata ke pantai marina pantai yang menyuguhkan indahnya spot bebatuan karang ini sudah memiliki fasilitas penunjang lainnya seperti spot foto dan kuliner ayo berwisata ke pantai yang ada di kalianda lokasi pantai marina kalianda lampung selatan
https://www.instagram.com/p/CoZOKbtp71U/,9.jpg,44965.337500000001,"photo family
#couplesyah#kalianda #wisatakalianda #wisatalampungselatan #pantaikalindalampung #kaliandahits #pantaikalianda #jalanjalankalianda #pantailampungselatan #kalianda #pantaiaranglampung #jasaphotopantaikalinda #tempatwisatalampung #wisatalampungselatan #photofamilykalinda #photofamily #photofamilyoutdoor #farrsofampict",Attraction,,photo family,couplesyah kalianda wisatakalianda wisatalampungselatan pantaikalindalampung kaliandahits pantaikalianda jalanjalankalianda pantailampungselatan pantaiaranglampung jasaphotopantaikalinda tempatwisatalampung photofamilykalinda photofamily photofamilyoutdoor farrsofampict,photo family
https://www.instagram.com/p/CoRTEOnpF_2/,10.jpg,44962.260370370372,"photofamily

#kalianda #wisatakalianda #wisatalampungselatan #pantaikalindalampung #kaliandahits #pantaikalianda #jalanjalankalianda #pantailampungselatan #kalianda #pantaikeduwarna #jasaphotopantaikalinda #wisatalampungselatan #photofamilykalinda #photofamily #photofamilyoutdoor #farrsofampict",Attraction,,photofamily,kalianda wisatakalianda wisatalampungselatan pantaikalindalampung kaliandahits pantaikalianda jalanjalankalianda pantailampungselatan pantaikeduwarna jasaphotopantaikalinda photofamilykalinda photofamily photofamilyoutdoor farrsofampict,photofamily
