Post URL,File,Post Date,Caption,prediction_sence
https://www.instagram.com/p/DXyhP25j7o3/,1.jpg,2026-05-01 08:29:19,"The beach is fun, while the mountains are calming🌊🏝️⛰️
#gunungkratau #pantaisebesi #lampungselatan #pulausebesi",lagoon
https://www.instagram.com/p/C-Id93hyegu/,2.jpg,2024-08-01 15:27:41,"Pantai Slimpuyang , Sidomulyo , Lampung selatan.
.
. 
. 
Repost : @anandamdini_ 
. 
. 
#LampungInsta #Lampung #kelilinglampung #ExploreLampung #bandarlampung #indonesia #indonesiaku #alamindonesia #wonderfulindonesia #tamanindonesiakaya #indonesiaindah #kalianda #lampungselatan",ice floe
https://www.instagram.com/p/DRY11KTj8nt/,3.jpg,2025-11-23 06:00:00,"A welcoming spot where groups can find shade, connect, and enjoy a peaceful break!

Booking and Reservation:
Whatsapp +62 821 2200 2098

—
Pantai Setigi Heni
Canggung, Lampung Selatan

#SetigiHeni #HarmonyWithNature #BatokKelapaBeachCafe #ShellOfFlavor #HiddenGem #Canggung #LampungSelatan",zen garden
https://www.instagram.com/p/DBFjvtxyijQ/,4.jpg,2024-10-14 01:54:38,"The beach is the answer to relieve fatigue from busy routines
°°°
@nata_ari77
@danangichwandii

°°°

Pantai Aruna Lampung
Jl. H. Muthalib, Desa Merak Belantung, Kec. kalianda
Lampung Selatan
📞 081541398534 (Kania) 

#lampung #lampungselatan #lampungtimur
#lampungtengah #pantai #metime #tulangbawang #tulangbawangbarat #travellerlampung #beachlife #beachvibes #jalanjalan #metime #campervan
#pantai #pantaiindonesia #lampungtimur #bandarlampung #ffff #detik #girl #ceweindonesia #lampungtengah #lampungselatan #palembang #tulangbawang #mata_lampungku #pikniklampung",beach
https://www.instagram.com/p/C7fovevpznP/,5.jpg,2024-05-28 01:50:11,"Service kaca 
Size 85cm x 201cm

Spesifikasi
- kaca ryben 8mm
- sealent neutral

Lokasi pasang : wayhalim
Lokasi workshop : jln raden gunawan, hajimena, natar, lampung selatan (-+ 500 meter dari bundaran rajabasa) 
Whatsapp : (085609794629) 
Facebook : (HK ALUMINIUM) (HAKA ALUMINIUM) 

#aluminiumdankaca 
#pintusliding 
#kacaryben 
#servicekaca 
#partisialuminium 
#aluminiumlampung 
#hkaluminium 
#lampungselatan",bow window/indoor
https://www.instagram.com/p/DMzwtWsx-N1/,6.jpg,2025-08-01 10:18:19,"Thank you for visiting at minangrua beach🌊☀
— SNORKELING Rp:75.000/pax all fasilitas 

Make sure your vacation is a good and fun moment, trust us !!!

Liburan di pantai, tapi bukan sekedar pantai.
Pantai minangrua menyajikan rekreasi alam yg berbeda.
Selain pantai, di Minangrua juga ada destinasi wisata lain.
Seperti, Air Terjun Dan Green Canyon.

Your family story must be happy!!
 ________________________
This is👉. Pantai Minangrua - Desa Kelawi - Bakauheni - Lampung Selatan.

Rute: 1.5 jam dari kota Bandar lampung. 10 menit dari Pelabuhan Bakauheni. 
________________________
Hurry up, follow us, because we are processing something amazing!!!
NOTE!!!
(Lodging on this beach is very limited)
__
Pos HTM: 10k/orang (non higeseason) 
__
Green Canyon HTM: 15k/orang 
__
Family Gathering Mulai Rp:170.000/orang
__
Snorkeling mulai Rp: 75.000/orang 

More info & Reservasi: HP/WA: 081272250665
________________________
Don’t miss out on information!!

Tag dan follow 👇👇

@minangruabeach_inn
@pantaiminangrua_lampung

Sertakan #minangruabeach 
❎ Vacation is a necessity too
________________________
•Don’t focus too much on money•
________________________
#minangruabeachinn #minangruabeach #pantaiminangrua #bakauheni #lampungselatan #lampung #lampung #bandung #palembang #travel #explore #tourism #trip #explore",boat deck
https://www.instagram.com/p/DKTkK9kvUDx/,7.jpg,2025-05-31 05:10:00,"Langkah kecil menuju laut, harapan besar untuk alam 🌊🐢 Mari jaga laut dan kehidupan yang ada di dalamnya! 

Booking and Reservation:
Whatsapp +62 821 2200 2098

—
Pantai Setigi Heni
Canggung, Lampung Selatan

#SetigiHeni #HarmonyWithNature #BatokKelapaBeachCafe #ShellOfFlavor #HiddenGem #Canggung #LampungSelatan",ice floe
https://www.instagram.com/p/DDTir0zvvzA/,8.jpg,2024-12-08 05:17:32,"The pile of coral reef 🌊 

Booking and Reservation:
Whatsapp +62 821 2200 2098

—
Pantai Setigi Heni
Canggung, Lampung Selatan

#SetigiHeni #HarmonyWithNature #BatokKelapaBeachCafe #ShellOfFlavor #HiddenGem #Canggung #LampungSelatan",beach
https://www.instagram.com/p/CvLuYZsPOeM/,9.jpg,2023-07-27 01:57:56,"bentar lagi udah mau weekend aja nih, kalian udah punya rencana mau berwisata kemana? kalau belum ada coba deh datang berwisata ke Pantai Marina.

Pantai yang menyuguhkan indahnya spot bebatuan karang ini sudah memiliki fasilitas penunjang lainnya seperti spot foto dan kuliner. yuk berwisata ke pantai yang ada di kalianda.

Loc: Pantai Marina, Kalianda, Lampung Selatan.

#tempatwisatalampung #marinabeach #pantaimarina #wonderfulindonesia #wisatalampungselatan #beach #wisatalampung #wisataindonesia",florist shop/indoor
https://www.instagram.com/p/CoZOKbtp71U/,10.jpg,2023-02-08 08:06:00,"photo family
#couplesyah#kalianda #wisatakalianda #wisatalampungselatan #pantaikalindalampung #kaliandahits #pantaikalianda #jalanjalankalianda #pantailampungselatan #kalianda #pantaiaranglampung #jasaphotopantaikalinda #tempatwisatalampung #wisatalampungselatan #photofamilykalinda #photofamily #photofamilyoutdoor #farrsofampict",playground
