Post URL,File,Post Date,Caption,Anotasi,Catatan,Sence1,Sence2,Sence3,Sence4,Sence5,Sence6,Sence7,Sence8,Sence9,Sence10
https://www.instagram.com/p/DXyhP25j7o3/,1.jpg,5/1/2026 8:29,"The beach is fun, while the mountains are calming🌊🏝️⛰️
#gunungkratau #pantaisebesi #lampungselatan #pulausebesi",Attraction,,lagoon,islet,beach,swimming hole,coast,ocean,natural,river,cliff,sky
https://www.instagram.com/p/C-Id93hyegu/,2.jpg,8/1/2024 15:27,"Pantai Slimpuyang , Sidomulyo , Lampung selatan.
.
. 
. 
Repost : @anandamdini_ 
. 
. 
#LampungInsta #Lampung #kelilinglampung #ExploreLampung #bandarlampung #indonesia #indonesiaku #alamindonesia #wonderfulindonesia #tamanindonesiakaya #indonesiaindah #kalianda #lampungselatan",Attraction,,ocean,coast,snowfield,ice floe,beach,ice shelf,cliff,iceberg,lagoon,wave
https://www.instagram.com/p/DRY11KTj8nt/,3.jpg,11/23/2025 6:00,"A welcoming spot where groups can find shade, connect, and enjoy a peaceful break!

Booking and Reservation:
Whatsapp +62 821 2200 2098

—
Pantai Setigi Heni
Canggung, Lampung Selatan

#SetigiHeni #HarmonyWithNature #BatokKelapaBeachCafe #ShellOfFlavor #HiddenGem #Canggung #LampungSelatan",Amenities,,exterior,zen garden,pavilion,japanese garden,asia,pagoda,botanical garden,cottage,outdoor,formal garden
https://www.instagram.com/p/DBFjvtxyijQ/,4.jpg,10/14/2024 1:54,"The beach is the answer to relieve fatigue from busy routines
°°°
@nata_ari77
@danangichwandii

°°°

Pantai Aruna Lampung
Jl. H. Muthalib, Desa Merak Belantung, Kec. kalianda
Lampung Selatan
📞 081541398534 (Kania) 

#lampung #lampungselatan #lampungtimur
#lampungtengah #pantai #metime #tulangbawang #tulangbawangbarat #travellerlampung #beachlife #beachvibes #jalanjalan #metime #campervan
#pantai #pantaiindonesia #lampungtimur #bandarlampung #ffff #detik #girl #ceweindonesia #lampungtengah #lampungselatan #palembang #tulangbawang #mata_lampungku #pikniklampung",Attraction,,lagoon,beach,ocean,coast,natural,islet,pier,river,swimming hole,marsh
https://www.instagram.com/p/DMzwtWsx-N1/,5.jpg,8/1/2025 10:18,"Thank you for visiting at minangrua beach🌊☀
— SNORKELING Rp:75.000/pax all fasilitas 

Make sure your vacation is a good and fun moment, trust us !!!

Liburan di pantai, tapi bukan sekedar pantai.
Pantai minangrua menyajikan rekreasi alam yg berbeda.
Selain pantai, di Minangrua juga ada destinasi wisata lain.
Seperti, Air Terjun Dan Green Canyon.

Your family story must be happy!!
 ________________________
This is👉. Pantai Minangrua - Desa Kelawi - Bakauheni - Lampung Selatan.

Rute: 1.5 jam dari kota Bandar lampung. 10 menit dari Pelabuhan Bakauheni. 
________________________
Hurry up, follow us, because we are processing something amazing!!!
NOTE!!!
(Lodging on this beach is very limited)
__
Pos HTM: 10k/orang (non higeseason) 
__
Green Canyon HTM: 15k/orang 
__
Family Gathering Mulai Rp:170.000/orang
__
Snorkeling mulai Rp: 75.000/orang 

More info & Reservasi: HP/WA: 081272250665
________________________
Don’t miss out on information!!

Tag dan follow 👇👇

@minangruabeach_inn
@pantaiminangrua_lampung

Sertakan #minangruabeach 
❎ Vacation is a necessity too
________________________
•Don’t focus too much on money•
________________________
#minangruabeachinn #minangruabeach #pantaiminangrua #bakauheni #lampungselatan #lampung #lampung #bandung #palembang #travel #explore #tourism #trip #explore",Ancillary,,boat deck,lagoon,islet,swimming hole,natural,beach,harbor,iceberg,raft,ocean
https://www.instagram.com/p/DKTkK9kvUDx/,6.jpg,5/31/2025 5:10,"Langkah kecil menuju laut, harapan besar untuk alam 🌊🐢 Mari jaga laut dan kehidupan yang ada di dalamnya! 

Booking and Reservation:
Whatsapp +62 821 2200 2098

—
Pantai Setigi Heni
Canggung, Lampung Selatan

#SetigiHeni #HarmonyWithNature #BatokKelapaBeachCafe #ShellOfFlavor #HiddenGem #Canggung #LampungSelatan",Attraction,,zen garden,ice floe,vegetation,snowfield,tundra,archaelogical excavation,badlands,watering hole,beach,desert road
https://www.instagram.com/p/DDTir0zvvzA/,7.jpg,12/8/2024 5:17,"The pile of coral reef 🌊 

Booking and Reservation:
Whatsapp +62 821 2200 2098

—
Pantai Setigi Heni
Canggung, Lampung Selatan

#SetigiHeni #HarmonyWithNature #BatokKelapaBeachCafe #ShellOfFlavor #HiddenGem #Canggung #LampungSelatan",Attraction,,landfill,archaelogical excavation,beach,coast,cliff,pier,ocean,excavation,harbor,ruin
https://www.instagram.com/p/CvLuYZsPOeM/,8.jpg,7/27/2023 1:57,"bentar lagi udah mau weekend aja nih, kalian udah punya rencana mau berwisata kemana? kalau belum ada coba deh datang berwisata ke Pantai Marina.

Pantai yang menyuguhkan indahnya spot bebatuan karang ini sudah memiliki fasilitas penunjang lainnya seperti spot foto dan kuliner. yuk berwisata ke pantai yang ada di kalianda.

Loc: Pantai Marina, Kalianda, Lampung Selatan.

#tempatwisatalampung #marinabeach #pantaimarina #wonderfulindonesia #wisatalampungselatan #beach #wisatalampung #wisataindonesia",Attraction,,water park,amusement park,beer garden,plaza,sandbox,roof garden,interior,beach house,playground,fountain
https://www.instagram.com/p/CoZOKbtp71U/,9.jpg,2/8/2023 8:06,"photo family
#couplesyah#kalianda #wisatakalianda #wisatalampungselatan #pantaikalindalampung #kaliandahits #pantaikalianda #jalanjalankalianda #pantailampungselatan #kalianda #pantaiaranglampung #jasaphotopantaikalinda #tempatwisatalampung #wisatalampungselatan #photofamilykalinda #photofamily #photofamilyoutdoor #farrsofampict",Attraction,,picnic area,lawn,yard,patio,interior,park,boat deck,playground,sandbox,coast
https://www.instagram.com/p/CoRTEOnpF_2/,10.jpg,2/5/2023 6:14,"photofamily

#kalianda #wisatakalianda #wisatalampungselatan #pantaikalindalampung #kaliandahits #pantaikalianda #jalanjalankalianda #pantailampungselatan #kalianda #pantaikeduwarna #jasaphotopantaikalinda #wisatalampungselatan #photofamilykalinda #photofamily #photofamilyoutdoor #farrsofampict",Attraction,,beach,coast,ocean,vegetation,wave,natural,sandbox,lagoon,pier,wheat field
https://www.instagram.com/p/C-P1IPVp4Dk/,11.jpg,8/4/2024 12:04,#waytayaskaliandalampungselatan #wisatalampungselatan #pesonaindonesia,Attraction,,rope bridge,rainforest,creek,bridge,mountain,tree house,forest path,valley,canyon,broadleaf
https://www.instagram.com/p/CVy29UNvwqn/,12.jpg,11/3/2021 1:07,"Lampung Selatan banyak banget punya destinasi wisata pantai, salah satu fasilitas yang disukai oleh traveler adalah adanya fasilitas perlengkapan camping yang disediakan oleh pengelola pantai.
.
.
.
.
.
📸 @putrimaharanis15 
🌱 Mbeach, Kalianda, Lampung Selatan
.
.
.
.
.
.
#mbeach 
#pantaikalianda 
#wisatalampungselatan 
#tempatwisatalampung 
#wonderfulinfonesia",Attraction,,beach,lagoon,coast,ocean,islet,sky,cliff,vegetation,wave,beach house
https://www.instagram.com/p/DXv1jH8jpWO/,13.jpg,4/30/2026 7:28,"Let the fun roll!
Ajak temen-temen kamu buat ngerasain serunya rolling donuts di green canyon!
.
.
#greencanyonminangrua #rollingdonut #wisatalampungselatan #kedashotelresort #wisatalampung",Attraction,,lagoon,ocean,islet,coast,cliff,beach,harbor,raft,swimming hole,wave
https://www.instagram.com/p/Cj4WZjBPFuU/,14.jpg,10/19/2022 3:37,"Pantai @mbeachkalianda 
tiket masuk 35K weekend. pantainya bersih. #lampung #wisatalampungselatan #pantailampung",Attraction,,lagoon,beach,coast,outdoor,picnic area,ocean,islet,promenade,natural,river
https://www.instagram.com/p/CrsDYTAAxpp/,15.jpg,5/1/2023 5:11,"#wisatalampungselatan 
#kalianda",Attraction,,football,park,baseball,baseball field,lawn,soccer,ball pit,soccer field,football field,amusement park
https://www.instagram.com/p/DH7LclUzoP7/,16.jpg,4/2/2025 0:49,💦🌸🏖️ #wisatalampungselatan,Attraction,,promenade,water park,playground,amusement park,park,bridge,staircase,plaza,arch,boardwalk
https://www.instagram.com/p/C6TWOBmSR1U/,17.jpg,4/28/2024 10:46,"Rio by the beach 🌈🏝️
.
.
.
#pantaikaliandalampung #wisatalampungselatan",Attraction,,outdoor,vegetation,ocean,beach,coast,desert road,promenade,playground,sky,lagoon
https://www.instagram.com/p/CWcwpQkFLXB/,18.jpg,11/19/2021 7:39,"#wisatalampungselatan
#waykalamkalianda",Attraction,,rainforest,waterfall,creek,mountain,hot spring,rope bridge,mountain path,forest path,canyon,botanical garden
https://www.instagram.com/p/C7Y_8aTPC5J/,19.jpg,5/25/2024 11:58,"Pesona matahari tenggelam di pantai Sebalang 
#pantaisebalanglampung
#sunset
#wisatapantai 
#wisatalampungselatan",Attraction,Sunset,ocean,beach,coast,cliff,wave,rock arch,sky,islet,lagoon,iceberg
https://www.instagram.com/p/CrtQKOfPeDq/,20.jpg,5/1/2023 16:22,"weekend vacation🌊
#pantaisetigiheni 
#wisatalampungselatan",Attraction,,promenade,beach,outdoor,coast,boardwalk,ocean,pier,picnic area,swimming hole,aqueduct
