Post URL,File,Post Date,Caption,Anotasi,Catatan,Scene1,Scene2,Scene3,Prob1,Prob2,Prob3
https://www.instagram.com/p/DXyhP25j7o3/,1.jpg,5/1/2026 8:29,"The beach is fun, while the mountains are calming🌊🏝️⛰️
#gunungkratau #pantaisebesi #lampungselatan #pulausebesi",Attraction,,lagoon,islet,beach,0.807023,0.08503,0.032469
https://www.instagram.com/p/C-Id93hyegu/,2.jpg,8/1/2024 15:27,"Pantai Slimpuyang , Sidomulyo , Lampung selatan.
.
. 
. 
Repost : @anandamdini_ 
. 
. 
#LampungInsta #Lampung #kelilinglampung #ExploreLampung #bandarlampung #indonesia #indonesiaku #alamindonesia #wonderfulindonesia #tamanindonesiakaya #indonesiaindah #kalianda #lampungselatan",Attraction,,ocean,coast,snowfield,0.225066,0.163583,0.160183
https://www.instagram.com/p/DRY11KTj8nt/,3.jpg,11/23/2025 6:00,"A welcoming spot where groups can find shade, connect, and enjoy a peaceful break!

Booking and Reservation:
Whatsapp +62 821 2200 2098

—
Pantai Setigi Heni
Canggung, Lampung Selatan

#SetigiHeni #HarmonyWithNature #BatokKelapaBeachCafe #ShellOfFlavor #HiddenGem #Canggung #LampungSelatan",Amenities,,exterior,zen garden,pavilion,0.396235,0.209566,0.205575
https://www.instagram.com/p/DBFjvtxyijQ/,4.jpg,10/14/2024 1:54,"The beach is the answer to relieve fatigue from busy routines
°°°
@nata_ari77
@danangichwandii

°°°

Pantai Aruna Lampung
Jl. H. Muthalib, Desa Merak Belantung, Kec. kalianda
Lampung Selatan
📞 081541398534 (Kania) 

#lampung #lampungselatan #lampungtimur
#lampungtengah #pantai #metime #tulangbawang #tulangbawangbarat #travellerlampung #beachlife #beachvibes #jalanjalan #metime #campervan
#pantai #pantaiindonesia #lampungtimur #bandarlampung #ffff #detik #girl #ceweindonesia #lampungtengah #lampungselatan #palembang #tulangbawang #mata_lampungku #pikniklampung",Attraction,,lagoon,beach,ocean,0.449777,0.170465,0.081923
https://www.instagram.com/p/DMzwtWsx-N1/,5.jpg,8/1/2025 10:18,"Thank you for visiting at minangrua beach🌊☀
— SNORKELING Rp:75.000/pax all fasilitas 

Make sure your vacation is a good and fun moment, trust us !!!

Liburan di pantai, tapi bukan sekedar pantai.
Pantai minangrua menyajikan rekreasi alam yg berbeda.
Selain pantai, di Minangrua juga ada destinasi wisata lain.
Seperti, Air Terjun Dan Green Canyon.

Your family story must be happy!!
 ________________________
This is👉. Pantai Minangrua - Desa Kelawi - Bakauheni - Lampung Selatan.

Rute: 1.5 jam dari kota Bandar lampung. 10 menit dari Pelabuhan Bakauheni. 
________________________
Hurry up, follow us, because we are processing something amazing!!!
NOTE!!!
(Lodging on this beach is very limited)
__
Pos HTM: 10k/orang (non higeseason) 
__
Green Canyon HTM: 15k/orang 
__
Family Gathering Mulai Rp:170.000/orang
__
Snorkeling mulai Rp: 75.000/orang 

More info & Reservasi: HP/WA: 081272250665
________________________
Don’t miss out on information!!

Tag dan follow 👇👇

@minangruabeach_inn
@pantaiminangrua_lampung

Sertakan #minangruabeach 
❎ Vacation is a necessity too
________________________
•Don’t focus too much on money•
________________________
#minangruabeachinn #minangruabeach #pantaiminangrua #bakauheni #lampungselatan #lampung #lampung #bandung #palembang #travel #explore #tourism #trip #explore",Ancillary,,boat deck,lagoon,islet,0.465501,0.113254,0.087197
https://www.instagram.com/p/DKTkK9kvUDx/,6.jpg,5/31/2025 5:10,"Langkah kecil menuju laut, harapan besar untuk alam 🌊🐢 Mari jaga laut dan kehidupan yang ada di dalamnya! 

Booking and Reservation:
Whatsapp +62 821 2200 2098

—
Pantai Setigi Heni
Canggung, Lampung Selatan

#SetigiHeni #HarmonyWithNature #BatokKelapaBeachCafe #ShellOfFlavor #HiddenGem #Canggung #LampungSelatan",Attraction,,zen garden,ice floe,vegetation,0.366236,0.209327,0.113899
https://www.instagram.com/p/DDTir0zvvzA/,7.jpg,12/8/2024 5:17,"The pile of coral reef 🌊 

Booking and Reservation:
Whatsapp +62 821 2200 2098

—
Pantai Setigi Heni
Canggung, Lampung Selatan

#SetigiHeni #HarmonyWithNature #BatokKelapaBeachCafe #ShellOfFlavor #HiddenGem #Canggung #LampungSelatan",Attraction,,landfill,archaelogical excavation,beach,0.419378,0.209436,0.050143
https://www.instagram.com/p/CvLuYZsPOeM/,8.jpg,7/27/2023 1:57,"bentar lagi udah mau weekend aja nih, kalian udah punya rencana mau berwisata kemana? kalau belum ada coba deh datang berwisata ke Pantai Marina.

Pantai yang menyuguhkan indahnya spot bebatuan karang ini sudah memiliki fasilitas penunjang lainnya seperti spot foto dan kuliner. yuk berwisata ke pantai yang ada di kalianda.

Loc: Pantai Marina, Kalianda, Lampung Selatan.

#tempatwisatalampung #marinabeach #pantaimarina #wonderfulindonesia #wisatalampungselatan #beach #wisatalampung #wisataindonesia",Attraction,,water park,amusement park,beer garden,0.143907,0.060328,0.05263
https://www.instagram.com/p/CoZOKbtp71U/,9.jpg,2/8/2023 8:06,"photo family
#couplesyah#kalianda #wisatakalianda #wisatalampungselatan #pantaikalindalampung #kaliandahits #pantaikalianda #jalanjalankalianda #pantailampungselatan #kalianda #pantaiaranglampung #jasaphotopantaikalinda #tempatwisatalampung #wisatalampungselatan #photofamilykalinda #photofamily #photofamilyoutdoor #farrsofampict",Attraction,,picnic area,lawn,yard,0.409677,0.104139,0.040019
https://www.instagram.com/p/CoRTEOnpF_2/,10.jpg,2/5/2023 6:14,"photofamily

#kalianda #wisatakalianda #wisatalampungselatan #pantaikalindalampung #kaliandahits #pantaikalianda #jalanjalankalianda #pantailampungselatan #kalianda #pantaikeduwarna #jasaphotopantaikalinda #wisatalampungselatan #photofamilykalinda #photofamily #photofamilyoutdoor #farrsofampict",Attraction,,beach,coast,ocean,0.674632,0.123092,0.07518
https://www.instagram.com/p/C-P1IPVp4Dk/,11.jpg,8/4/2024 12:04,#waytayaskaliandalampungselatan #wisatalampungselatan #pesonaindonesia,Attraction,,rope bridge,rainforest,creek,0.196343,0.091779,0.07173
https://www.instagram.com/p/CVy29UNvwqn/,12.jpg,11/3/2021 1:07,"Lampung Selatan banyak banget punya destinasi wisata pantai, salah satu fasilitas yang disukai oleh traveler adalah adanya fasilitas perlengkapan camping yang disediakan oleh pengelola pantai.
.
.
.
.
.
📸 @putrimaharanis15 
🌱 Mbeach, Kalianda, Lampung Selatan
.
.
.
.
.
.
#mbeach 
#pantaikalianda 
#wisatalampungselatan 
#tempatwisatalampung 
#wonderfulinfonesia",Attraction,,beach,lagoon,coast,0.465799,0.461497,0.027988
