file_name,caption,like,date,location
001.jpg,"Sekitar lampung, Bandar Lampung. 10,592 likes tentang lampung jangan lupa klik tombol ikuti, & slalu share informasi yang kami...",10592.0,2024-05-15T13:40:00+00:00,null
002.jpg,"Benny Abriantoz Soza. 6,137 likes. Bersama Kawan Studio Film",6137.0,2026-01-06T09:26:35+00:00,null
003.jpg,Very nice,,2023-11-22T16:22:29+00:00,null
004.jpg,❤😍 #fotofyp #bonus #pantaiklaralampung #wisatalampungselatan,,2025-02-11T09:15:54+00:00,null
005.jpg,"Dewi Niken Ariyanti. 5,407 likes Mom of 2 sons",5407.0,2024-09-13T07:39:43+00:00,null
006.jpg,,,2022-07-03T03:40:42+00:00,null
007.jpg,,,2022-01-09T07:15:58+00:00,null
008.jpg,"Law Office Triple ""A"" & Partners. 194 likes. Lawyer & Law Firm",194.0,2023-08-16T11:48:10+00:00,null
009.jpg,"Abel Tira Ramadhan. 6,873 likes Riview,Tutorial JASA MAKEUP🎨 MEMBER ZAMZAM ABEL CELL 📱 wa.me//+6285778268432 📍tj.bintang - Lamsel",6873.0,2025-04-06T14:10:16+00:00,null
010.jpg,#junglesealampung #wisatalampungselatan #jusjumbo #jusbuahasli,,2026-01-27T04:26:34+00:00,null
011.jpg,"Ahmd Firda'us. 1,235 likes. no need to act cool!!!",1235.0,2024-06-20T16:36:58+00:00,null
012.jpg,Terocok mendo,1235.0,2024-06-20T16:36:58+00:00,null
013.jpg,#wisatalampungselatan #junglesealampung #potofyp Poto jualan di pantai,,2026-03-22T08:24:04+00:00,null
014.jpg,Syege,,2025-11-19T09:04:07+00:00,null
015.jpg,"Tria Agustina. 5,017 likes Ig: agustinatria024",5017.0,2026-03-30T01:33:58+00:00,null
016.jpg,Rio by the beach #wisatalampungselatan #riobeach #ukm #buahpotong,,2025-12-31T16:45:16+00:00,null
017.jpg,"Ria Albrq. 5,059 likes Kreator video ✅ Mukbang ✅ Follow Akun ke 1 Ria Anjani",5059.0,2025-04-16T00:48:11+00:00,null
