rank,noun,similarity_logit,probability
1,jungle,25.602112,0.19888265
2,person jungle,25.501223,0.17979652
3,shows group,25.376564,0.15872405
4,group,25.212004,0.13464032
5,rainforest,25.016335,0.1107126
6,amazon rainforest,24.623112,0.07471754
7,group person,24.426533,0.061383184
8,include group,24.177055,0.04783026
9,amazon,23.378273,0.021517707
10,shows,22.298346,0.007307847
11,include,21.125296,0.0022612072
12,objects include,20.24757,0.0009400457
13,objects,19.729042,0.0005596998
14,person,19.590614,0.0004873452
15,person amazon,18.878262,0.0002390374
